hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
bradley suffers elbow strain,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
state extends health billing,NEWS,Metro,unknown,2014.0,-71.0609772,42.3638828,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
heat take control,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
subban has two assists makes points on tweets,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 114 76ers 108,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
at 25 frames per second who best,SUNDAY,Ideas,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
no money set aside for shift in medicaid,NEWS,Metro,unknown,2014.0,-71.0609772,42.3638828,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
grousbecks split,LIVING ARTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 111 76ers 91,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
striking back,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics face major test,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins avalanche,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins avalanche,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
elder arroyo launches bid to take on embattled register,NEWS,Metro,unknown,2014.0,-71.0612773,42.3629707,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
boyles and eagles earn title,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins postseason statistics,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
loss is tough to take,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
coaches vs. cancer is tripleheader treat,SPORTS,unknown,unknown,2014.0,-71.0622295,42.3661864,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
